kode_konsep,konsep,definisi
K02286,Usaha Perikanan,"Kegiatan yang dilaksanakan dengan sistem bisnis perikanan yang meliputi praproduksi, produksi, pascaproduksi, pengolahan, dan pemasaran."
K02287,Usaha Perkebunan,"Segala kegiatan pengelolaan sumber daya alam, sumber daya manusia, sarana produksi, alat dan mesin, budi daya, panen, pengolahan, dan pemasaran terkait tanaman perkebunan."
K02288,Usaha Pertanian,Kegiatan mengelola sumber daya alam nabati dan hewani untuk menghasilkan komoditas ekonomi yang seluruh atau sebagian hasilnya untuk dijual; dan termasuk pula apabila seluruh hasil pertanian tanaman pangan untuk dikonsumsi.
K02289,Usaha Pertanian Gurem,"Usaha pertanian yang menguasai lahan pertanian kurang dari 0,5 hektar, tidak termasuk lahan kegiatan budi daya di laut atau perairan umum."
K02292,Usaha Peternakan,Kegiatan pemeliharaan ternak (meliputi penggemukan/pembibitan/pengembangbiakan/pemacekan) yang menghasilkan produk peternakan dengan tujuan sebagian atau seluruh hasilnya dijual/ditukar atas risiko usaha.
K02293,Usaha Sektor Informal,"Kegiatan perseorangan, keluarga, atau beberapa orang yang melaksanakan usaha bersama untuk melakukan kegiatan ekonomi atas dasar kepercayaan dan kesepakatan serta tidak berbadan hukum."
K02294,Usaha Tanaman Kehutanan,"Kegiatan kehutanan yang menghasilkan produk tanaman kehutanan (kayu, daun, getah, dan lain-lain) termasuk usaha pembibitan dengan tujuan sebagian atau seluruh hasilnya dijual/ditukar atas resiko usaha."
K02295,Usaha Tanaman Pangan,"Kegiatan pertanian yang menghasilkan produk tanaman pangan (padi dan palawija) termasuk usaha pembibitan tanaman pangan, dan bukan sebagai buruh tani atau pekerja keluarga."
K02301,Utang Luar Negeri,"Posisi kewajiban aktual penduduk Indonesia kepada bukan penduduk pada suatu waktu, tidak termasuk kontinjen, yang membutuhkan pembayaran kembali bunga dan/ atau pokok pada waktu yang akan datang."
K02302,Vaksin,"Antigen berupa mikroorganisme yang sudah mati, masih hidup tapi dilemahkan, masih utuh atau bagiannya, yang telah diolah, berupa toksin mikroorganisme yang telah diolah menjadi toksoid, protein rekombinan yang bila diberikan kepada seseorang akan menimbulkan kekebalan spesifik secara aktif terhadap penyakit infeksi tertentu."
K02309,Wajib Pajak,"Orang pribadi atau badan, meliputi pembayar pajak, pemotong pajak, dan pemungut pajak, yang mempunyai hak dan kewajiban perpajakan sesuai dengan ketentuan peraturan perundang-undangan perpajakan."
K02314,Wanita Usia Subur (WUS),Wanita yang berumur 15-49 tahun dan masih haid atau wanita berumur kurang dari 15 tahun dan sudah haid.
K02320,Wasting,Kondisi kurang gizi akut yang dicirikan berat badan yang lebih rendah dibandingkan dengan tinggi badan akibat kurangnya asupan gizi dan infeksi penyakit.
K02323,Wilayah,Ruang yang merupakan kesatuan geografis beserta segenap unsur terkait yang batas dan sistemnya ditentukan berdasarkan aspek administratif dan/atau aspek fungsional.
K00940,Wilayah Kerja Statistik,"Area geografis yang ditetapkan oleh lembaga pemerintah di bidang kegiatan statistik untuk tujuan pengumpulan, pengolahan, dan analisis data statistik."
K02325,Wilayah Pengelolaan Perikanan (WPP),"Wilayah pengelolaan perikanan untuk penangkapan ikan, pembudidayaan ikan, konservasi, penelitian, dan pengembangan perikanan yang meliputi perairan pedalaman, perairan kepulauan, laut teritorial, zona tambahan, dan zona ekonomi eksklusif Indonesia."
K01008,Wisata,"Aktivitas bepergian ke suatu tempat untuk bersenang-senang, memperluas pengetahuan, bertamasya, dan sebagainya yang biasanya dilakukan secara bersama-sama."
K02331,Wisatawan,Orang yang melakukan perjalanan di luar lingkungan sehari-hari dengan lama perjalanan kurang dari 12 bulan dan bukan bertujuan untuk memperoleh penghasilan di tempat yang dikunjungi serta bukan merupakan kegiatan rutin.
K02332,Wisatawan Mancanegara,"Setiap orang yang melakukan perjalanan ke suatu negara di luar negara tempat tinggalnya, kurang dari satu tahun, didorong oleh suatu tujuan utama (bisnis, berlibur, atau tujuan pribadi lainnya), selain untuk bekerja dengan penduduk negara yang dikunjungi."
K02334,Wisatawan Nusantara,Penduduk Indonesia yang melakukan perjalananan di luar lingkungan sehari-hari di wilayah geografis Indonesia dengan lama perjalanan kurang dari 12 bulan dan bukan bertujuan untuk memperoleh penghasilan di tempat yang dikunjungi serta bukan merupakan kegiatan rutin.
